Entity,Currency,Currency Code,Numeric Code,Minor Unit,Withdrawal Date,Flag
MICRONESIA,US Dollar,USD,840,2,,🇺🇸
MOLDOVA,Moldovan Leu,MDL,498,2,,🇲🇩
MOLDOVA,Russian Ruble,RUR,810,,1993-12,🇷🇺
MONACO,Euro,EUR,978,2,,🇪🇺
MONACO,French Franc,FRF,250,,2002-03,🇫🇷
MONGOLIA,Tugrik,MNT,496,2,,🇲🇳
MONTENEGRO,Euro,EUR,978,2,,🇪🇺
MONTSERRAT,East Caribbean Dollar,XCD,951,2,,🇲🇸
MOROCCO,Moroccan Dirham,MAD,504,2,,🇲🇦
MOZAMBIQUE,Mozambique Escudo,MZE,508,,1978 to 1981,🇲🇿
MOZAMBIQUE,Mozambique Metical,MZM,508,,2006-06,🇲🇿
MOZAMBIQUE,Mozambique Metical,MZN,943,2,,🇲🇿
MYANMAR,Kyat,MMK,104,2,,🇲🇲
NAMIBIA,Namibia Dollar,NAD,516,2,,🇳🇦
NAMIBIA,Rand,ZAR,710,2,,🇿🇦
NAURU,Australian Dollar,AUD,36,2,,🇦🇺
NEPAL,Nepalese Rupee,NPR,524,2,,🇳🇵
NETHERLANDS,Euro,EUR,978,2,,🇪🇺
NETHERLANDS,Netherlands Guilder,NLG,528,,2002-03,🇳🇱
NETHERLANDS ANTILLES,Netherlands Antillean Guilder,ANG,532,,2010-10,🇳🇱
NEW CALEDONIA,CFP Franc,XPF,953,0,,🇫🇷
NEW ZEALAND,New Zealand Dollar,NZD,554,2,,🇳🇿
NICARAGUA,Cordoba,NIC,558,,1990-10,🇳🇮
NICARAGUA,Cordoba Oro,NIO,558,2,,🇳🇮
NIGER,CFA Franc BCEAO,XOF,952,0,,🇳🇪
NIGERIA,Naira,NGN,566,2,,🇳🇬
NIUE,New Zealand Dollar,NZD,554,2,,🇳🇿
NORFOLK ISLAND,Australian Dollar,AUD,36,2,,🇦🇺
NORTH KOREA,North Korean Won,KPW,408,2,,🇰🇵
NORTH MACEDONIA,Denar,MKD,807,2,,🇲🇰
NORTHERN MARIANA ISLANDS,US Dollar,USD,840,2,,🇺🇸
NORWAY,Norwegian Krone,NOK,578,2,,🇳🇴
OMAN,Rial Omani,OMR,512,3,,🇴🇲
PAKISTAN,Pakistan Rupee,PKR,586,2,,🇵🇰
PALAU,US Dollar,USD,840,2,,🇺🇸
PANAMA,Balboa,PAB,590,2,,🇵🇦
PANAMA,US Dollar,USD,840,2,,🇺🇸
PAPUA NEW GUINEA,Kina,PGK,598,2,,🇵🇬
PARAGUAY,Guarani,PYG,600,0,,🇵🇾
PERU,Sol,PEH,604,,1989 to 1990,🇵🇪
PERU,Inti,PEI,604,,1991-07,🇵🇪
PERU,Sol,PEN,604,2,,🇵🇪
PERU,Nuevo Sol ,PEN,604,,2015-12,🇵🇪
PERU,Sol,PES,604,,1986-02,🇵🇪
PHILIPPINES,Philippine Peso,PHP,608,2,,🇵🇭
PITCAIRN,New Zealand Dollar,NZD,554,2,,🇳🇿
POLAND,Złoty,PLN,985,2,,🇵🇱
POLAND,Złoty,PLZ,616,,1997-01,🇵🇱
PORTUGAL,Euro,EUR,978,2,,🇪🇺
PORTUGAL,Portuguese Escudo,PTE,620,,2002-03,🇵🇹
PUERTO RICO,US Dollar,USD,840,2,,🇺🇸
QATAR,Qatari Rial,QAR,634,2,,🇶🇦
REPUBLIC OF CONGO,CFA Franc BEAC,XAF,950,0,,🇨🇬
RÉUNION,Euro,EUR,978,2,,🇪🇺
RÉUNION,French Franc,FRF,250,,2002-03,🇫🇷
ROMANIA,Leu A/52,ROK,642,,1989 to 1990,🇷🇴
ROMANIA,Old Leu,ROL,642,,2005-06,🇷🇴
ROMANIA,Romanian Leu,RON,946,2,,🇷🇴
ROMANIA,New Romanian Leu ,RON,946,,2015-06,🇷🇴
RUSSIAN FEDERATION,Russian Ruble,RUB,643,2,,🇷🇺
RUSSIAN FEDERATION,Russian Ruble,RUR,810,,2004-01,🇷🇺
RWANDA,Rwanda Franc,RWF,646,0,,🇷🇼
SAINT BARTHÉLEMY,Euro,EUR,978,2,,🇪🇺
SAINT HELENA,Saint Helena Pound,SHP,654,2,,🇸🇭
SAINT KITTS AND NEVIS,East Caribbean Dollar,XCD,951,2,,🇰🇳
SAINT LUCIA,East Caribbean Dollar,XCD,951,2,,🇱🇨
SAINT MARTIN,French Franc,FRF,250,,1999-01,🇫🇷
SAINT MARTIN (FRENCH PART),Euro,EUR,978,2,,🇪🇺
SAINT PIERRE AND MIQUELON,Euro,EUR,978,2,,🇪🇺
SAINT PIERRE AND MIQUELON,French Franc,FRF,250,,2002-03,🇫🇷
SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,XCD,951,2,,🇻🇨
SAINT-BARTHÉLEMY,French Franc,FRF,250,,1999-01,🇫🇷
SAMOA,Tala,WST,882,2,,🇼🇸
SAN MARINO,Euro,EUR,978,2,,🇪🇺
SAN MARINO,Italian Lira,ITL,380,,2002-03,🇮🇹
SAO TOME AND PRINCIPE,Dobra,STD,678,,2017-12,🇸🇹
SAO TOME AND PRINCIPE,Dobra,STN,930,2,,🇸🇹
SAUDI ARABIA,Saudi Riyal,SAR,682,2,,🇸🇦
SENEGAL,CFA Franc BCEAO,XOF,952,0,,🇸🇳
SERBIA,Serbian Dinar,RSD,941,2,,🇷🇸
SERBIA AND MONTENEGRO,Serbian Dinar,CSD,891,,2006-10,🇷🇸
SERBIA AND MONTENEGRO,Euro,EUR,978,,2006-10,🇪🇺
SEYCHELLES,Seychelles Rupee,SCR,690,2,,🇸🇨
SIERRA LEONE,Leone,SLL,694,2,,🇸🇱
SINGAPORE,Singapore Dollar,SGD,702,2,,🇸🇬
SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,ANG,532,2,,🇳🇱
"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""",Sucre,XSU,994,-,,💰
SLOVAKIA,Euro,EUR,978,2,,🇪🇺
SLOVAKIA,Slovak Koruna,SKK,703,,2009-01,🇸🇰
SLOVENIA,Euro,EUR,978,2,,🇪🇺
SLOVENIA,Tolar,SIT,705,,2007-01,🇸🇮
SOLOMON ISLANDS,Solomon Islands Dollar,SBD,90,2,,🇸🇧
SOMALIA,Somali Shilling,SOS,706,2,,🇸🇴
SOUTH AFRICA,Financial Rand,ZAL,991,,1995-03,🇿🇦
SOUTH AFRICA,Rand,ZAR,710,2,,🇿🇦
SOUTH KOREA,Korean Republic Won,KRW,410,0,,🇰🇷
SOUTH SUDAN,Sudanese Pound,SDG,938,,2012-09,🇸🇸
SOUTH SUDAN,South Sudanese Pound,SSP,728,2,,🇸🇸
SOUTHERN RHODESIA,Rhodesian Dollar,RHD,716,,1978 to 1981,🇿🇼
SPAIN,Spanish Peseta,ESA,996,,1978 to 1981,🇪🇸
SPAIN,A Account (convertible Peseta Account),ESB,995,,1994-12,🇪🇸
SPAIN,Spanish Peseta,ESP,724,,2002-03,🇪🇸
SPAIN,Euro,EUR,978,2,,🇪🇺
SRI LANKA,Sri Lanka Rupee,LKR,144,2,,🇱🇰
SUDAN,Sudanese Dinar,SDD,736,,2007-07,🇸🇩
SUDAN,Sudanese Pound,SDG,938,2,,🇸🇩
SUDAN,Sudanese Pound,SDP,736,,1998-06,🇸🇩
SURINAME,Surinam Dollar,SRD,968,2,,🇸🇷
SURINAME,Surinam Guilder,SRG,740,,2003-12,🇸🇷
SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,578,2,,🇳🇴
SWAZILAND,Lilangeni,SZL,748,,2018-08,🇸🇿
SWEDEN,Swedish Krona,SEK,752,2,,🇸🇪
SWITZERLAND,WIR Franc (for electronic),CHC,948,,2004-11,🇨🇭
SWITZERLAND,WIR Euro,CHE,947,2,,🇪🇺
SWITZERLAND,Swiss Franc,CHF,756,2,,🇨🇭
SWITZERLAND,WIR Franc,CHW,948,2,,🇨🇭
SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,760,2,,🇸🇾
TAIWAN,New Taiwan Dollar,NTD,901,2,,🇹🇼
TAIWAN,New Taiwan Dollar,TWD,901,2,,🇹🇼
TAJIKISTAN,Russian Ruble,RUR,810,,1995-05,🇷🇺
TAJIKISTAN,Tajik Ruble,TJR,762,,2001-04,🇹🇯
TAJIKISTAN,Somoni,TJS,972,2,,🇹🇯
TANZANIA,Tanzanian Shilling,TZS,834,2,,🇹🇿
THAILAND,Baht,THB,764,2,,🇹🇭
TIMOR-LESTE,Rupiah,IDR,360,,2002-07,🇮🇩
TIMOR-LESTE,Timor Escudo,TPE,626,,2002-11,🇹🇱
TIMOR-LESTE,US Dollar,USD,840,2,,🇺🇸
TOGO,CFA Franc BCEAO,XOF,952,0,,🇹🇬
TOKELAU,New Zealand Dollar,NZD,554,2,,🇳🇿
TONGA,Pa'anga,TOP,776,2,,🇹🇴
TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,780,2,,🇹🇹
TUNISIA,Tunisian Dinar,TND,788,3,,🇹🇳
TURKEY,Old Turkish Lira,TRL,792,,2005-12,🇹🇷
TURKEY,Turkish Lira,TRY,949,2,,🇹🇷
TURKEY,New Turkish Lira,TRY,949,,2009-01,🇹🇷
TURKMENISTAN,Russian Ruble,RUR,810,,1993-10,🇷🇺
TURKMENISTAN,Turkmenistan Manat,TMM,795,,2009-01,🇹🇲
TURKMENISTAN,Turkmenistan New Manat,TMT,934,2,,🇹🇲
TURKS AND CAICOS ISLANDS (THE),US Dollar,USD,840,2,,🇺🇸
TUVALU,Australian Dollar,AUD,36,2,,🇦🇺
UGANDA,Uganda Shilling,UGS,800,,1987-05,🇺🇬
UGANDA,Old Shilling,UGW,800,,1989 to 1990,🇺🇬
UGANDA,Uganda Shilling,UGX,800,0,,🇺🇬
UKRAINE,Hryvnia,UAH,980,2,,🇺🇦
UKRAINE,Karbovanet,UAK,804,,1996-09,🇺🇦
UNION OF SOVIET SOCIALIST REPUBLICS,Rouble,SUR,810,,1990-12,🇷🇺
UNITED ARAB EMIRATES,UAE Dirham,AED,784,2,,🇦🇪
UNITED KINGDOM,Pound Sterling,GBP,826,2,,🇬🇧
UNITED STATES,US Dollar (Same day),USS,998,,2014-03,🇺🇸
UNITED STATES MINOR OUTLYING ISLANDS,US Dollar,USD,840,2,,🇺🇸
UNITED STATES OF AMERICA,US Dollar,USD,840,2,,🇺🇸
UNITED STATES OF AMERICA,US Dollar (Next day),USN,997,2,,🇺🇸
URUGUAY,Uruguay Peso en Unidades Indexadas (UI),UYI,940,0,,🇺🇾
URUGUAY,Old Uruguay Peso,UYN,858,,1989-12,🇺🇾
URUGUAY,Uruguayan Peso,UYP,858,,1993-03,🇺🇾
URUGUAY,Peso Uruguayo,UYU,858,2,,🇺🇾
URUGUAY,Unidad Previsional,UYW,927,4,,🇺🇾
UZBEKISTAN,Russian Ruble,RUR,810,,1994-07,🇷🇺
UZBEKISTAN,Uzbekistan Sum,UZS,860,2,,🇺🇿
VANUATU,Vatu,VUV,548,0,,🇻🇺
VATICAN CITY,Euro,EUR,978,2,,🇪🇺
VATICAN CITY,Italian Lira,ITL,380,,2002-03,🇮🇹
VENEZUELA,Bolivar,VEB,862,,2008-01,🇻🇪
VENEZUELA,Bolivar Fuerte,VEF,937,,2011-12,🇻🇪
VENEZUELA,Bolívar Soberano,VES,928,2,,🇻🇪
VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VEF,937,,2016-02,🇻🇪
VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolívar,VEF,937,,2018-08,🇻🇪
VIETNAM,Old Dong,VNC,704,,1989-1990,🇻🇳
VIETNAM,Dong,VND,704,0,,🇻🇳
